I,J,TOT,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,HBC,NHBW,NHBNW,IX,XI,XX,SH_LT,SH_MD,SH_HV,Ext_MD,Ext_HV,HBSch,Tot_HBW,Tel_HBW,Tot_NHBW,Tel_NHBW
         4,        20,      305.80,      182.63,       21.75,       75.00,           0,           0,           0,        4.74,       21.91,           0,           0,           0,           0,           0,           0,           0,           0,           0,      202.99,       21.50,        4.82,        0.01
         4,        21,      212.00,      125.58,        0.16,        5.30,           0,           0,       81.00,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,      135.40,       10.77,           0,           0
         4,        22,       10.20,       10.20,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,       10.50,        0.34,           0,           0
         4,        23,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         4,        24,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         4,        25,        0.02,        0.02,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.02,           0,           0,           0
         4,        26,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         4,        27,    11097.05,           0,           0,           0,           0,           0,           0,           0,           0,     8363.05,           0,           0,           0,           0,           0,     1059.31,     1674.18,           0,           0,           0,           0,           0
         5,         1,     2487.57,      698.31,        5.86,      181.10,        1.68,        7.48,           0,      324.78,      253.41,           0,           0,           0,      341.66,      375.40,      300.58,           0,           0,        9.16,      765.71,       67.98,      338.03,       13.51
         5,         2,       81.03,        7.97,           0,        5.93,           0,           0,           0,       12.67,       10.83,           0,           0,           0,       23.32,        8.98,       11.48,           0,           0,           0,        8.61,        0.65,       12.93,        0.28
         5,         3,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         5,         4,    77967.00,    10671.28,     3526.98,    21251.10,      873.03,     1614.23,           0,     8261.17,    15122.80,           0,           0,           0,     3096.54,     8456.35,     5169.98,           0,           0,     2486.63,    11943.08,     1278.95,     8812.33,      557.90
         5,         5,   371706.49,    32477.41,    30270.40,   143060.19,     8744.55,     8100.59,     5851.00,    27359.83,    63709.41,           0,           0,           0,    13633.42,    25452.05,    13073.73,           0,           0,    16844.38,    36895.42,     4416.83,    29687.99,     2328.99
         5,         6,      114.12,        3.61,           0,       70.70,           0,           0,           0,        5.19,       13.66,           0,           0,           0,        5.50,       10.91,        4.58,           0,           0,           0,        4.05,        0.45,        5.30,        0.11
         5,         7,        0.56,        0.11,           0,        0.09,           0,           0,           0,        0.18,        0.18,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.11,           0,        0.18,           0
         5,         8,    43712.64,     9919.99,      385.59,    10215.98,      301.06,      391.70,      279.00,     4752.94,     6410.06,           0,           0,           0,     1492.73,     5794.34,     3874.84,           0,           0,      691.84,    11531.98,     1623.94,     5166.17,      420.50
         5,         9,     7379.05,     2108.01,       87.65,     1115.30,        8.57,       30.78,           0,     1119.80,      983.85,           0,           0,           0,      239.85,      839.94,      879.05,           0,           0,       39.35,     2433.10,      329.49,     1201.62,       84.29
         5,        10,        5.15,        0.02,           0,        3.40,           0,           0,           0,        0.24,        0.71,           0,           0,           0,        0.12,        0.46,        0.20,           0,           0,           0,        0.02,           0,        0.24,           0
         5,        11,      782.02,      414.71,       13.70,      166.70,        0.20,           0,           0,       90.27,       55.23,           0,           0,           0,        7.08,       30.34,        5.19,           0,           0,        0.20,      467.29,       52.91,       96.14,        6.30
         5,        12,     4213.74,     1563.94,       32.16,     1426.38,        1.82,        0.49,       22.00,      505.38,      384.79,           0,           0,           0,       65.84,      160.75,       62.10,           0,           0,        2.31,     1778.24,      220.82,      535.04,       32.34
         5,        13,     1556.06,      642.24,       32.07,      410.41,           0,        0.05,        6.00,      191.21,      171.86,           0,           0,           0,       27.95,       50.27,       32.28,           0,           0,        0.05,      772.80,      135.59,      200.43,       10.67
         5,        14,     4139.44,     1505.00,       44.16,      992.22,        0.71,        1.36,      247.00,      591.44,      522.10,           0,           0,           0,       49.57,      161.64,       38.27,           0,           0,        2.07,     1703.19,      205.56,      629.55,       40.65
         5,        15,       84.19,       20.08,           0,       16.04,        0.38,           0,           0,       18.22,       27.87,           0,           0,           0,           0,        1.80,           0,           0,           0,        0.38,       20.79,        0.98,       18.61,        0.34
         5,        16,      817.57,      219.26,       19.51,      163.20,        1.13,           0,        2.00,      164.16,      207.09,           0,           0,           0,        1.24,       42.34,        0.11,           0,           0,        1.13,      243.25,       25.10,      170.52,        6.54
         5,        17,      765.52,      207.60,       13.46,      191.97,        0.36,           0,           0,      141.01,      170.12,           0,           0,           0,        0.93,       42.06,        0.10,           0,           0,        0.36,      232.20,       25.99,      145.55,        4.97
         5,        18,       20.31,        3.74,        4.12,        3.37,           0,           0,           0,        2.86,        6.24,           0,           0,           0,           0,           0,           0,           0,           0,           0,        3.77,        0.03,        2.96,        0.08
         5,        19,        2.54,        2.50,           0,        0.04,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        2.56,        0.16,           0,           0
         5,        20,      199.00,       76.69,       12.98,       31.58,        0.05,           0,           0,       18.03,       60.25,           0,           0,           0,           0,           0,           0,           0,           0,        0.05,       84.13,        8.11,       18.94,        0.57
         5,        21,      110.27,       71.24,        1.79,        9.22,           0,           0,       28.00,           0,        0.06,           0,           0,           0,           0,           0,           0,           0,           0,           0,       76.75,        5.97,           0,           0
         5,        22,       10.66,       10.66,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,       10.86,        0.25,           0,           0
         5,        23,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         5,        24,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         5,        25,        0.10,        0.10,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.10,           0,           0,           0
         5,        26,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         5,        27,     7383.04,           0,           0,           0,           0,           0,           0,           0,           0,     4969.17,           0,           0,           0,           0,           0,      910.59,     1503.88,           0,           0,           0,           0,           0
         6,         1,        2.25,        1.30,        0.02,        0.30,           0,           0,           0,        0.02,        0.04,           0,           0,           0,        0.27,        0.25,        0.05,           0,           0,           0,        1.37,        0.07,        0.02,           0
         6,         2,        0.08,        0.02,           0,        0.01,           0,           0,           0,           0,           0,           0,           0,           0,        0.03,        0.01,        0.01,           0,           0,           0,        0.02,           0,           0,           0
         6,         3,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         6,         4,      110.53,       18.46,        9.94,       49.87,        2.96,        2.72,           0,        2.60,        7.16,           0,           0,           0,        3.70,        9.48,        3.65,           0,           0,        5.68,       20.39,        1.91,        2.67,        0.07
         6,         5,      214.90,       31.27,       26.16,      108.41,        3.84,        4.36,        1.00,        5.14,       13.71,           0,           0,           0,        5.59,       11.01,        4.59,           0,           0,        8.20,       35.27,        3.99,        5.34,        0.18
         6,         6,        5.63,           0,           0,        4.14,           0,           0,           0,        0.03,        0.26,           0,           0,           0,        0.56,        0.48,        0.15,           0,           0,           0,           0,           0,        0.03,           0
         6,         7,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         6,         8,       37.33,       12.67,        0.63,       12.14,        0.26,        0.42,           0,        1.21,        2.10,           0,           0,           0,        1.03,        4.82,        2.21,           0,           0,        0.68,       14.51,        1.89,        1.25,        0.04
         6,         9,        6.62,        2.81,        0.30,        2.38,        0.01,        0.05,           0,        0.20,        0.37,           0,           0,           0,        0.03,        0.28,        0.19,           0,           0,        0.06,        3.14,        0.35,        0.20,           0
         6,        10,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         6,        11,        1.06,        0.59,        0.08,        0.38,           0,           0,           0,           0,        0.01,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.64,        0.05,           0,           0
