TAZID,CO_TAZID,CO_FIPS,SUBAREAID,AREATYPE,TOTAL_P,TOTAL_A,TOTPER_P,TOTPER_A,TOTEXT_P,TOTEXT_A,HBW_P,HBW_A,HBSHP_P,HBSHP_A,HBOTH_P,HBOTH_A,HBSCHPR_P,HBSCHPR_A,HBSCHSC_P,HBSCHSC_A,NHBW_P,NHBW_A,NHBNW_P,NHBNW_A,HBC_P,HBC_A,TTUNIQUE_P,TTUNIQUE_A,IX_P,IX_A,XI_P,XI_A
1103,350198,35,1,2,36.3,34.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1104,350199,35,1,3,255.8,854.7,101.7,681.1,0.0,16.2,0.0,209.9,0.0,45.8,2.0,327.8,0.0,0.0,0.0,0.0,46.0,46.4,51.7,51.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,16.2
1105,350200,35,1,3,1517.6,7527.7,430.6,6268.9,0.0,142.8,0.0,4263.7,0.0,11.5,24.0,1606.3,0.0,0.0,0.0,0.0,351.8,356.9,30.8,30.6,0.0,0.0,24.0,0.0,0.0,0.0,0.0,142.8
1106,350201,35,1,3,1724.9,5609.5,781.9,4533.1,0.0,99.1,0.0,2282.3,0.0,350.8,27.0,1163.2,0.0,0.0,0.0,0.0,407.2,414.2,320.7,322.6,0.0,0.0,27.0,0.0,0.0,0.0,0.0,99.1
1107,350202,35,1,3,694.0,2515.9,223.8,1993.0,0.0,37.7,0.0,1145.0,0.0,12.2,10.0,628.6,0.0,0.0,0.0,0.0,178.7,181.8,25.1,25.3,0.0,0.0,10.0,0.0,0.0,0.0,0.0,37.7
1108,350203,35,1,3,5392.7,2955.5,5170.0,2708.8,65.1,61.0,1043.4,27.7,564.1,7.9,2724.0,2101.2,105.5,0.0,108.0,0.0,160.0,163.9,399.1,408.1,50.0,0.0,16.0,0.0,65.1,0.0,0.0,61.0
1109,350204,35,1,3,4039.2,1449.7,3867.6,1273.4,47.7,28.4,675.6,9.4,383.0,0.0,2163.0,1013.9,177.9,0.0,181.9,0.0,68.9,70.5,175.3,179.5,30.0,0.0,12.0,0.0,47.7,0.0,0.0,28.4
1110,350205,35,1,3,2193.0,1846.7,2016.0,1647.2,24.2,37.4,375.3,259.3,198.3,65.4,977.5,936.9,39.4,0.0,40.5,0.0,120.3,123.3,254.8,262.3,5.0,0.0,5.0,0.0,24.2,0.0,0.0,37.4
1111,350206,35,1,3,2318.1,1834.7,2181.7,1673.3,25.6,35.4,394.1,245.9,217.2,21.2,1051.7,968.6,40.0,0.0,41.1,0.0,155.1,159.3,270.6,278.3,2.0,0.0,10.0,0.0,25.6,0.0,0.0,35.4
1112,350207,35,1,4,1293.4,1443.7,1145.5,1279.4,12.5,25.0,195.4,360.6,106.6,40.7,524.7,600.2,21.2,0.0,22.0,0.0,101.2,103.7,169.4,174.2,1.0,0.0,4.0,0.0,12.5,0.0,0.0,25.0
1113,350208,35,1,4,755.7,400.3,686.7,330.7,8.9,6.7,139.5,8.6,74.2,0.0,374.0,259.4,16.1,0.0,16.7,0.0,16.4,16.8,44.8,45.9,2.0,0.0,3.0,0.0,8.9,0.0,0.0,6.7
1114,350209,35,1,4,1248.9,2487.0,1025.9,2208.1,6.9,43.4,112.6,809.1,58.2,209.4,298.4,659.6,9.4,0.0,9.8,0.0,178.3,183.0,336.3,346.9,3.0,0.0,20.0,0.0,6.9,0.0,0.0,43.4
1115,350210,35,1,4,1881.4,4774.0,1350.8,4148.1,3.2,82.6,52.2,1270.3,27.1,212.4,141.8,1521.2,4.2,0.0,4.3,0.0,431.3,444.1,676.8,700.0,1.0,0.0,12.0,0.0,3.2,0.0,0.0,82.6
